"Var1","Var2","Var3","Var4","value"
"Q","E","D","A",0.822664551192795
"R","E","D","A",0.128351879806987
"S","E","D","A",0.51900934370611
"T","E","D","A",0.0303241992486278
"U","E","D","A",0.370777403647341
"A","F","D","A",0.57606653426872
"B","F","D","A",0.407927809291993
"C","F","D","A",-0.511472338700958
"D","F","D","A",0.740226493493987
"E","F","D","A",0.277476071723147
"F","F","D","A",0.771433924061957
"G","F","D","A",0.653929839312971
"H","F","D","A",0.556234999351701
"I","F","D","A",1.59013177752161
"J","F","D","A",0.371648331854002
"K","F","D","A",0.089929857680326
"L","F","D","A",0.613246683582575
"M","F","D","A",0.688060283811839
"N","F","D","A",0.29870974575072
"O","F","D","A",0.10332394230544
"P","F","D","A",0.853126201625992
"Q","F","D","A",0.39767042157295
"R","F","D","A",-0.354850745635579
"S","F","D","A",0.0923724281075937
"T","F","D","A",0.221134671328899
"U","F","D","A",0.838528922105418
"A","A","E","A",0.954302943546486
"B","A","E","A",3.30349052063162
"C","A","E","A",2.52821138649219
"D","A","E","A",3.77915223304193
"E","A","E","A",3.01736967191259
"F","A","E","A",3.91671007350963
"G","A","E","A",3.59158787971711
"H","A","E","A",2.7465860040215
"I","A","E","A",3.48566931716339
"J","A","E","A",3.52029573649021
"K","A","E","A",2.55291596751995
"L","A","E","A",4.13308781080893
"M","A","E","A",3.71388281514878
"N","A","E","A",2.65644512759737
"O","A","E","A",3.11255270884035
"P","A","E","A",2.33191791127578
"Q","A","E","A",3.25263227355104
"R","A","E","A",1.35145148111838
"S","A","E","A",1.52454332676883
"T","A","E","A",1.62214457255872
"U","A","E","A",1.90949625025309
"A","B","E","A",0.693304786783369
"B","B","E","A",3.08476159104133
"C","B","E","A",4.25617070335158
"D","B","E","A",2.84898552912822
"E","B","E","A",4.4184797064429
"F","B","E","A",4.39404114160422
"G","B","E","A",3.7274761077748
"H","B","E","A",3.16403561518517
"I","B","E","A",4.85867889006822
"J","B","E","A",3.19940176407987
