"day","from","to","value"
"232","0","4",7.3017387
"233","0","4",7.272313
"234","0","4",7.2985415
"235","0","4",7.034445
"236","0","4",7.2414503
"237","0","4",7.129278
"238","0","4",7.3430433
"239","0","4",7.044121
"240","0","4",7.2868233
"241","0","4",6.991245
"242","0","4",7.111183
"243","0","4",7.2354975
"244","0","4",7.084425
"245","0","4",7.0850067
"246","0","4",7.2948966
"247","0","4",7.317111
"248","0","4",6.811574
"249","0","4",6.6122875
"250","0","4",6.944623
"251","0","4",6.653243
"252","0","4",6.7658925
"232","1","4",3.0553567
"233","1","4",3.072963
"234","1","4",3.0820186
"235","1","4",3.0434546
"236","1","4",3.0442698
"237","1","4",3.055851
"238","1","4",3.018356
"239","1","4",3.0231311
"240","1","4",3.051346
"241","1","4",2.9461062
"242","1","4",3.0383437
"243","1","4",3.069432
"244","1","4",3.0252411
"245","1","4",3.063907
"246","1","4",3.0353932
"247","1","4",3.0187073
"248","1","4",3.0199528
"249","1","4",3.008497
"250","1","4",2.9883213
"251","1","4",2.9603877
"252","1","4",2.854596
"232","2","4",6.1407056
"233","2","4",6.087448
"234","2","4",6.0834446
"235","2","4",5.639538
"236","2","4",6.006853
"237","2","4",5.907659
"238","2","4",6.0875454
"239","2","4",5.75893
"240","2","4",6.0382524
"241","2","4",5.617927
"242","2","4",5.900383
"243","2","4",5.9888086
"244","2","4",5.778204
"245","2","4",5.78616
"246","2","4",6.0119276
"247","2","4",6.0438924
"248","2","4",5.518267
"249","2","4",5.4679403
"250","2","4",5.7218423
"251","2","4",5.4062376
"252","2","4",5.501882
"232","3","4",11.392424
"233","3","4",11.503314
"234","3","4",11.4457035
"235","3","4",11.009871
"236","3","4",11.303661
"237","3","4",11.244237
"238","3","4",11.43009
"239","3","4",11.263187
"240","3","4",11.33464
"241","3","4",11.026186
"242","3","4",11.149684
"243","3","4",11.25723
"244","3","4",11.209561
"245","3","4",11.207958
"246","3","4",11.484549
"247","3","4",11.326386
"248","3","4",10.818933
"249","3","4",10.623103
"250","3","4",10.949308
"251","3","4",10.811295
"252","3","4",10.818218
"232","4","4",11.544921
"233","4","4",11.511834
"234","4","4",11.559434
"235","4","4",11.039913
"236","4","4",11.429803
"237","4","4",11.339217
"238","4","4",11.555471
"239","4","4",11.245882
"240","4","4",11.448936
"241","4","4",11.071161
"242","4","4",11.28066
"243","4","4",11.397591
"244","4","4",11.3011055
"245","4","4",11.230191
"246","4","4",11.5376835
"247","4","4",11.4611225
"248","4","4",10.856681
"249","4","4",10.5913515
"250","4","4",10.991658
"251","4","4",10.738198
"252","4","4",10.772482
"232","5","4",8.328742
"233","5","4",8.359362
"234","5","4",8.359959
"235","5","4",8.086528
"236","5","4",8.220893
"237","5","4",8.169184
"238","5","4",8.332696
"239","5","4",8.205831
"240","5","4",8.280591
"241","5","4",8.048571
"242","5","4",8.142036
"243","5","4",8.220426
"244","5","4",8.169494
"245","5","4",8.210319
"246","5","4",8.35423
"247","5","4",8.29258
"248","5","4",8.015477
"249","5","4",7.872183
"250","5","4",8.039141
"251","5","4",7.930896
"252","5","4",7.95722
"232","0","5",8.168337
"233","0","5",8.199646
"234","0","5",8.2151985
"235","0","5",7.7916126
"236","0","5",8.020698
"237","0","5",7.9845743
"238","0","5",8.178507
"239","0","5",8.002395
"240","0","5",8.067236
"241","0","5",7.826739
"242","0","5",7.964387
"243","0","5",8.020162
"244","0","5",7.9940515
"245","0","5",7.991304
"246","0","5",8.199989
"247","0","5",8.094209
"248","0","5",7.749758
"249","0","5",7.621766
"250","0","5",7.8106422
"251","0","5",7.7897263
"252","0","5",7.7211537
"232","1","5",5.041461
"233","1","5",4.9838324
"234","1","5",4.8817234
"235","1","5",4.849799
"236","1","5",4.9532676
"237","1","5",4.862315
"238","1","5",4.9579344
"239","1","5",4.918572
"240","1","5",4.9730167
"241","1","5",4.8003416
